File Name,Object Name
./Annotations\0001.xml,dividing
./Annotations\0001.xml,medium-polygonal
./Annotations\0001.xml,small-polygonal
./Annotations\0001.xml,dividing
./Annotations\0001.xml,small-polygonal
./Annotations\0001.xml,medium-spread
./Annotations\0001.xml,small-spread
./Annotations\0003.xml,medium-spread
./Annotations\0003.xml,medium-spread
./Annotations\0003.xml,small-spread
./Annotations\0003.xml,dividing
./Annotations\0003.xml,dividing
./Annotations\0004.xml,dividing
./Annotations\0004.xml,dividing
./Annotations\0004.xml,small-polygonal
./Annotations\0005.xml,dividing
./Annotations\0005.xml,small-spread
./Annotations\0005.xml,small-polygonal
./Annotations\0005.xml,large-spread
./Annotations\0005.xml,small-polygonal
./Annotations\0005.xml,medium-polygonal
./Annotations\0005.xml,medium-spread
./Annotations\0005.xml,small-spread
./Annotations\0005.xml,large-polygonal
./Annotations\0007.xml,dividing
./Annotations\0007.xml,medium-spread
./Annotations\0007.xml,large-spread
./Annotations\0008.xml,small-polygonal
./Annotations\0008.xml,small-polygonal
./Annotations\0008.xml,small-polygonal
./Annotations\0008.xml,small-polygonal
./Annotations\0008.xml,dividing
./Annotations\0008.xml,dividing
./Annotations\0013.xml,dividing
./Annotations\0013.xml,dividing
./Annotations\0013.xml,small-polygonal
./Annotations\0015.xml,medium-spread
./Annotations\0015.xml,dividing
./Annotations\0015.xml,medium-spread
./Annotations\0015.xml,medium-polygonal
./Annotations\0015.xml,small-spread
./Annotations\0017.xml,small-spread
./Annotations\0017.xml,small-polygonal
./Annotations\0019.xml,dividing
./Annotations\0019.xml,dividing
./Annotations\0019.xml,small-polygonal
./Annotations\0019.xml,small-polygonal
./Annotations\0019.xml,small-spread
./Annotations\0019.xml,small-polygonal
./Annotations\0019.xml,dividing
./Annotations\0021.xml,large-polygonal
./Annotations\0021.xml,medium-spread
./Annotations\0021.xml,dividing
./Annotations\0021.xml,medium-spread
./Annotations\0021.xml,medium-polygonal
./Annotations\0024.xml,medium-polygonal
./Annotations\0024.xml,dividing
./Annotations\0024.xml,medium-spread
./Annotations\0024.xml,medium-spread
./Annotations\0024.xml,large-spread
./Annotations\0025.xml,dividing
./Annotations\0025.xml,medium-polygonal
./Annotations\0025.xml,medium-polygonal
./Annotations\0025.xml,small-polygonal
./Annotations\0025.xml,medium-spread
./Annotations\0025.xml,medium-polygonal
./Annotations\0025.xml,dividing
./Annotations\0032.xml,medium-polygonal
./Annotations\0032.xml,dividing
./Annotations\0032.xml,dividing
./Annotations\0032.xml,medium-spread
./Annotations\0032.xml,medium-polygonal
./Annotations\0032.xml,medium-polygonal
./Annotations\0032.xml,medium-spread
./Annotations\0032.xml,dividing
./Annotations\0032.xml,medium-spread
./Annotations\0033.xml,small-spread
./Annotations\0033.xml,small-polygonal
./Annotations\0033.xml,small-polygonal
./Annotations\0033.xml,dividing
./Annotations\0033.xml,dividing
./Annotations\0033.xml,dividing
./Annotations\0033.xml,dividing
./Annotations\0033.xml,dividing
./Annotations\0033.xml,medium-spread
./Annotations\0033.xml,small-polygonal
./Annotations\0035.xml,large-spread
./Annotations\0035.xml,small-polygonal
./Annotations\0035.xml,small-polygonal
./Annotations\0035.xml,small-polygonal
./Annotations\0038.xml,small-round
./Annotations\0038.xml,small-polygonal
./Annotations\0038.xml,small-polygonal
./Annotations\0038.xml,small-round
./Annotations\0038.xml,large-spread
./Annotations\0038.xml,medium-polygonal
./Annotations\0043.xml,spindle
./Annotations\0043.xml,small-spread
./Annotations\0043.xml,small-polygonal
./Annotations\0043.xml,dividing
./Annotations\0043.xml,small-polygonal
./Annotations\0043.xml,small-polygonal
./Annotations\0043.xml,small-spread
./Annotations\0043.xml,medium-polygonal
./Annotations\0046.xml,small-polygonal
./Annotations\0046.xml,spindle
./Annotations\0046.xml,small-round
./Annotations\0046.xml,spindle
./Annotations\0046.xml,small-polygonal
./Annotations\0049.xml,spindle
./Annotations\0049.xml,small-polygonal
./Annotations\0049.xml,medium-polygonal
./Annotations\0049.xml,small-polygonal
./Annotations\0049.xml,spindle
./Annotations\0049.xml,spindle
./Annotations\0049.xml,small-polygonal
./Annotations\0049.xml,spindle
./Annotations\0053.xml,medium-polygonal
./Annotations\0053.xml,medium-spread
./Annotations\0053.xml,spindle
./Annotations\0053.xml,small-polygonal
./Annotations\0053.xml,spindle
./Annotations\0053.xml,spindle
./Annotations\0055.xml,medium-polygonal
./Annotations\0055.xml,medium-polygonal
./Annotations\0057.xml,small-polygonal
./Annotations\0058.xml,medium-polygonal
./Annotations\0058.xml,small-spread
./Annotations\0058.xml,small-spread
./Annotations\0058.xml,small-round
./Annotations\0058.xml,small-polygonal
./Annotations\0058.xml,dividing
./Annotations\0058.xml,medium-polygonal
./Annotations\0059.xml,medium-polygonal
./Annotations\0059.xml,spindle
./Annotations\0059.xml,small-polygonal
./Annotations\0059.xml,small-spread
./Annotations\0059.xml,spindle
./Annotations\0059.xml,small-round
./Annotations\0059.xml,small-round
./Annotations\0059.xml,medium-polygonal
./Annotations\0059.xml,small-polygonal
./Annotations\0062.xml,dividing
./Annotations\0062.xml,medium-spread
./Annotations\0062.xml,small-round
./Annotations\0062.xml,small-round
./Annotations\0062.xml,small-round
./Annotations\0064.xml,dividing
./Annotations\0064.xml,dividing
./Annotations\0064.xml,large-polygonal
./Annotations\0065.xml,spindle
./Annotations\0065.xml,spindle
./Annotations\0065.xml,medium-polygonal
./Annotations\0065.xml,medium-polygonal
./Annotations\0065.xml,medium-polygonal
./Annotations\0065.xml,small-polygonal
./Annotations\0065.xml,small-round
./Annotations\0065.xml,large-polygonal
./Annotations\0065.xml,small-round
./Annotations\0065.xml,small-spread
./Annotations\0066.xml,small-spread
./Annotations\0066.xml,small-polygonal
./Annotations\0066.xml,medium-polygonal
./Annotations\0066.xml,spindle
./Annotations\0066.xml,spindle
./Annotations\0066.xml,small-polygonal
./Annotations\0066.xml,medium-polygonal
./Annotations\0066.xml,small-polygonal
./Annotations\0066.xml,small-polygonal
./Annotations\0068.xml,small-polygonal
./Annotations\0068.xml,medium-polygonal
./Annotations\0068.xml,small-polygonal
./Annotations\0068.xml,medium-spread
./Annotations\0068.xml,medium-polygonal
./Annotations\0068.xml,medium-spread
./Annotations\0068.xml,spindle
./Annotations\0068.xml,small-round
./Annotations\0072.xml,dividing
./Annotations\0072.xml,medium-spread
./Annotations\0072.xml,medium-polygonal
./Annotations\0072.xml,medium-polygonal
./Annotations\0072.xml,small-polygonal
./Annotations\0072.xml,small-polygonal
./Annotations\0072.xml,medium-polygonal
./Annotations\0072.xml,medium-spread
./Annotations\0072.xml,medium-spread
./Annotations\0072.xml,medium-polygonal
./Annotations\0072.xml,small-polygonal
./Annotations\0072.xml,small-polygonal
./Annotations\0072.xml,dividing
./Annotations\0076.xml,small-polygonal
./Annotations\0076.xml,small-polygonal
./Annotations\0076.xml,medium-polygonal
./Annotations\0076.xml,dividing
./Annotations\0076.xml,dividing
./Annotations\0076.xml,medium-polygonal
./Annotations\0076.xml,dividing
./Annotations\0076.xml,medium-polygonal
./Annotations\0076.xml,medium-spread
./Annotations\0076.xml,medium-polygonal
./Annotations\0076.xml,small-spread
./Annotations\0077.xml,medium-polygonal
./Annotations\0077.xml,dividing
./Annotations\0077.xml,medium-polygonal
./Annotations\0077.xml,small-spread
./Annotations\0077.xml,small-round
./Annotations\0077.xml,medium-polygonal
./Annotations\0078.xml,medium-polygonal
./Annotations\0078.xml,small-polygonal
./Annotations\0078.xml,small-polygonal
./Annotations\0078.xml,medium-polygonal
./Annotations\0078.xml,small-polygonal
./Annotations\0078.xml,small-polygonal
./Annotations\0078.xml,medium-polygonal
./Annotations\0078.xml,medium-spread
./Annotations\0078.xml,medium-polygonal
./Annotations\0078.xml,small-spread
./Annotations\0078.xml,small-round
./Annotations\0078.xml,dividing
./Annotations\0079.xml,dividing
./Annotations\0079.xml,medium-polygonal
./Annotations\0079.xml,medium-polygonal
./Annotations\0079.xml,medium-polygonal
./Annotations\0080.xml,small-polygonal
./Annotations\0080.xml,small-polygonal
./Annotations\0080.xml,small-polygonal
./Annotations\0080.xml,medium-spread
./Annotations\0080.xml,medium-polygonal
./Annotations\0080.xml,medium-polygonal
./Annotations\0080.xml,small-polygonal
./Annotations\0080.xml,small-polygonal
./Annotations\0080.xml,small-polygonal
./Annotations\0080.xml,medium-polygonal
./Annotations\0080.xml,small-polygonal
./Annotations\0080.xml,dividing
./Annotations\0080.xml,small-polygonal
./Annotations\0080.xml,small-polygonal
./Annotations\0081.xml,medium-spread
./Annotations\0081.xml,medium-polygonal
./Annotations\0081.xml,dividing
./Annotations\0081.xml,small-polygonal
./Annotations\0081.xml,medium-spread
./Annotations\0081.xml,medium-polygonal
./Annotations\0081.xml,small-polygonal
./Annotations\0081.xml,small-polygonal
./Annotations\0081.xml,dividing
./Annotations\0081.xml,small-polygonal
./Annotations\0082.xml,dividing
./Annotations\0082.xml,medium-polygonal
./Annotations\0082.xml,small-polygonal
./Annotations\0082.xml,small-polygonal
./Annotations\0082.xml,small-polygonal
./Annotations\0082.xml,medium-polygonal
./Annotations\0082.xml,medium-spread
./Annotations\0082.xml,medium-spread
./Annotations\0082.xml,small-spread
./Annotations\0083.xml,dividing
./Annotations\0083.xml,dividing
./Annotations\0083.xml,small-polygonal
./Annotations\0083.xml,medium-polygonal
./Annotations\0083.xml,small-spread
./Annotations\0083.xml,dividing
./Annotations\0083.xml,small-polygonal
./Annotations\0083.xml,medium-spread
./Annotations\0083.xml,medium-polygonal
./Annotations\0083.xml,medium-spread
./Annotations\0083.xml,medium-spread
./Annotations\0083.xml,small-polygonal
./Annotations\0083.xml,medium-polygonal
